Sample;X(ms) [22.03.2026 15:55:44 279 UTC];"Int_R_deseado[%MD70]";"Int_R_Real[%MD74]";"Int_G120[%MD58]";"Int_ST_FC11[%MD78]";"FT10_Int[%MD22]";"FT11_Int[%MD26]"
308;1774194975170,015048;250;-8388608;191;0;0;-14
309;1774194975270,016960;250;-8388608;178;0;0;-12
310;1774194975370,025304;250;-8388608;122;0;0;-12
311;1774194975470,028192;250;-8388608;131;0;0;-12
312;1774194975570,025160;250;-8388608;137;0;0;-12
313;1774194975670,031648;250;-8388608;141;0;0;-12
314;1774194975770,025344;250;-8388608;143;0;0;-12
315;1774194975870,026552;250;-8388608;145;0;0;-12
316;1774194975970,015488;250;-8388608;146;0;0;-12
317;1774194976070,021592;250;-8388608;147;0;0;-12
318;1774194976170,031576;250;-8388608;148;0;0;-14
319;1774194976270,016448;250;-8388608;196;0;0;-12
320;1774194976370,016656;250;-8388608;134;0;0;-12
321;1774194976470,016232;250;-8388608;140;0;0;-12
322;1774194976570,015248;250;-8388608;143;0;0;-9
323;1774194976670,059160;250;-8388608;97;0;0;-12
324;1774194976770,026544;250;-8388608;161;0;0;-12
325;1774194976870,030880;250;-8388608;158;0;0;-12
326;1774194976970,030120;250;-8388608;155;0;0;-12
327;1774194977070,023064;250;-8388608;154;0;0;-14
328;1774194977170,041248;250;-8388608;201;0;0;-12
329;1774194977270,015504;250;-8388608;138;0;0;-12
330;1774194977370,021192;250;-8388608;142;0;0;-9
331;1774194977470,017088;250;-8388608;97;0;0;-9
332;1774194977570,023896;250;-8388608;114;0;0;-12
333;1774194977670,015672;250;-8388608;173;0;0;-12
334;1774194977770,016560;250;-8388608;165;0;0;-12
335;1774194977870,029456;250;-8388608;161;0;0;-12
336;1774194977970,022176;250;-8388608;158;0;0;-14
337;1774194978070,015880;250;-8388608;204;0;0;-14
338;1774194978170,024896;250;-8388608;188;0;0;-12
339;1774194978270,015032;250;-8388608;130;0;0;-12
340;1774194978370,016832;250;-8388608;137;0;0;-12
341;1774194978470,022984;250;-8388608;143;0;0;-12
342;1774194978570,026768;250;-8388608;146;0;0;-12
